cijena,stanje,broj_kvadrata,sprat,namjesten,broj_soba,grijanje
116167,1,57,5,0,2,3
124000,0,62,5,0,2,3
124000,1,62,5,0,2,3
131177,1,82,5,0,3,3
131353,1,68,5,0,2,3
134160,0,57,5,0,2,3
134279,1,57,5,0,2,3
175686,1,76,5,0,3,3
15206850,1,71,5,0,3,3
77000,0,71,5,0,3,4
95000,0,97,5,0,4,4
98000,0,89,5,0,4,4
99900,0,89,5,0,4,4
100000,0,89,5,0,3,4
150000,0,62,5,0,3,4
166354,1,85,5,0,4,4
110000,0,90,5,0,4,5
75000,0,54,6,0,1.5,1
75000,1,34,6,0,0,1
89000,0,33,6,0,1.5,1
99000,0,55,6,0,2,1
110000,0,36,6,0,3,1
115000,0,75,6,0,3,1
115000,0,75,6,0,3,1
118500,0,75,6,0,3,1
126000,1,65,6,0,3,1
163500,0,78,6,0,3,1
165000,0,78,6,0,3,1
177600,0,111,6,0,3,1
211000,0,141,6,0,5,1
226000,0,78,6,0,3,1
249900,1,119,6,0,4,1
256000,1,104,6,0,4,1
275000,0,250,6,0,5,1
362000,1,151,6,0,5,1
105000,0,48,6,0,1.5,2
115000,0,50,6,0,2,2
139500,0,54,6,0,2,2
139950,0,51,6,0,2,2
139950,0,51,6,0,2,2
139950,0,54,6,0,2,2
139950,0,54,6,0,2,2
170000,0,71,6,0,3,2
174400,1,67,6,0,2,2
195000,0,120,6,0,5,2
111004,1,52,6,0,2,3
116167,1,57,6,0,2,3
134200,0,57,6,0,2,3
92000,0,70,6,0,2,4
89500,0,51,7,0,2,1
95000,0,53,7,0,2,1
119000,0,78,7,0,3,1
119500,0,78,7,0,4,1
119500,0,78,7,0,1.5,1
125000,0,82,7,0,4,1
139000,0,56,7,0,2,1
175214,0,67,7,0,3,1
249600,1,97,7,0,4,1
259000,0,100,7,0,4,1
308000,0,140,7,0,4,1
97500,0,45,7,0,1,2
120000,0,75,7,0,4,2
129000,0,57,7,0,2,2
139000,0,70,7,0,3,2
145000,0,53,7,0,2,2
199000,0,87,7,0,4,2
108000,1,55,7,0,2,3
183180,0,142,7,0,4,3
115000,0,47,8,0,2,1
115000,0,54,8,0,2,2
144000,0,53,8,0,2,2
144500,0,74,8,0,3,2
154000,0,54,8,0,2,2
169000,0,105,8,0,4,2
169000,0,105,8,0,4,2
96200,0,40,8,0,1,3
145418,1,88,8,0,3,3
179200,1,64,8,0,2,3
230000,0,96,8,0,3,3
106000,0,56,9,0,2,2
124500,0,85,9,0,4,2
125000,0,70,9,0,3,2
127000,0,70,9,0,3,2
135000,0,54,9,0,2,2
135000,0,54,9,0,2,2
153900,0,99,9,0,4,2
159000,0,99,9,0,4,2
85000,0,38,9,0,1.5,3
180000,1,60,9,0,2,3
101000,0,53,10,0,2,2
103000,0,66,10,0,3,2
103000,0,66,10,0,3,2
103000,0,66,10,0,3,2
105000,0,66,10,0,3,2
119000,0,64,10,0,3,2
211000,1,84,10,0,4,2
235000,1,64,10,0,2,2
